word	frequency
tappa	1179
pisut	1177
otse	1175
jama	1175
umbes	1170
maa	1161
minutit	1160
tehtud	1157
mõni	1151
varsti	1148
kõiki	1144
too	1141
peaksin	1137
öelnud	1135
muretse	1135
olemas	1134
tahtnud	1132
jääda	1127
politsei	1121
sees	1114
ööd	1114
näeme	1110
tuled	1109
neli	1107
peate	1105
tunned	1101
laske	1095
käes	1094
new	1092
inimene	1088
oodake	1087
mõte	1084
nime	1081
sõna	1072
vend	1071
paistab	1071
kuulsin	1070
jack	1070
tahaksin	1070
ainus	1064
päeval	1062
armas	1060
loomulikult	1059
tähtis	1054
hommikust	1049
teise	1048
mehe	1047
lõpuks	1045
probleem	1045
räägib	1044
iganes	1044
tõsiselt	1040
andke	1036
seega	1035
muud	1032
võimalus	1028
nalja	1026
inimesi	1024
doktor	1022
heaks	1021
leida	1020
tulin	1018
vaadata	1015
tulevad	1013
käsi	1013
mõista	1005
juhtub	1005
vaatame	1003
käed	1000
teadnud	998
tulnud	998
mäletad	994
meiega	992
vajan	988
pidi	987
tänu	983
ühel	981
kardan	977
kõigest	976
mõtle	976
mõtled	971
juhul	958
istu	958
kahe	957
halb	954
rääkis	951
järgmine	946
tulid	945
olge	942
naise	940
teete	939
kadunud	938
õnnelik	937
kohal	933
jooksul	932
ometi	932
okei	932
rääkinud	927
john	926
aita	924
näeb	923
uskuda	923
usun	923
muidu	923
jätta	922
süüa	917
igal	909
jumala	909
teised	906
kuus	906
ükskõik	904
lasta	904
võite	903
saavad	902
kuulda	901
harry	900
üsna	899
siiski	898
peaksime	897
ühte	892
onu	892
mõne	890
õnne	889
lihtne	888
suure	888
hakka	885
hoida	885
paremini	883
vaatan	882
vale	880
olevat	879
nimel	876
nägid	874
võtab	872
tundi	868
meist	867
kuigi	866
linna	861
tööle	858
mingeid	855
käest	855
persse	855
nõus	850
ütlema	848
uue	846
näete	846
teadsin	844
mõlemad	840
ikkagi	838
luba	838
käib	837
kohale	836
niisiis	836
kellegi	836
naljakas	836
jalga	835
iial	833
tahavad	832
vabanda	830
nemad	829
tõeline	829
pihta	827
saaksin	820
otsa	819
rahune	818
haiget	813
number	812
võtame	811
george	810
tehke	809
leidsin	808
milleks	805
teevad	805
silmad	804
frank	802
elada	798
teel	793
noor	793
pidin	792
nendega	790
paha	787
milles	786
nägu	785
jäänud	785
minuti	783
rahu	782
sobib	782
ruttu	781
miski	780
kao	778
uks	778
millega	778
halloo	777
oodata	776
vaatama	774
arva	771
võivad	771
kuuled	770
püha	769
soovid	769
pr	769
öö	767
võtaks	766
issand	766
magama	762
kellega	757
i	757
ok	755
üleval	753
väärt	752
ütled	752
valesti	751
tunni	746
pange	746
huvitav	746
näiteks	742
hetkel	741
tubli	741
silmas	740
soovite	738
suri	735
nägemist	734
panen	733
räägime	732
vahele	732
kasutada	729
võttis	728
ootab	728
hakkan	728
hüvasti	727
küsimus	725
jäi	725
elab	725
andis	725
öelge	725
aastal	720
kohvi	720
tahtis	718
oska	718
mängida	717
jeesus	717
perse	716
moodi	716
tähelepanu	714
kõigile	714
õde	714
arvate	711
rääkisin	711
viia	707
kuidagi	706
pealt	706
jaa	706
olime	705
ühtegi	705
toon	705
isand	704
sellise	703
maailm	700
rahule	700
relv	699
hoopis	699
soovin	698
mõelda	698
tüüp	697
saime	696
hilja	695
naist	694
kutt	693
teame	691
näita	691
proovi	690
süüdi	688
meelde	688
vihkan	688
vaba	687
haige	684
lähedal	683
uut	683
mõttes	681
kohtuda	679
kuu	679
a	678
hakkame	678
osta	677
annab	676
loll	676
mõelnud	676
öösel	670
kiire	669
teeks	667
abikaasa	666
kolonel	666
töötab	665
peavad	664
püsti	662
miljonit	660
õhtust	659
kolme	656
ameerika	654
meeldiv	653
päästa	652
suutnud	650
mike	650
maailmas	648
kõigi	648
pealegi	648
võtma	648
vii	646
untranslated	645
subtitle	645
teadma	644
lahe	643
kuhugi	643
suu	641
charlie	640
mõnikord	639
küsida	639
seotud	631
helistan	630
joe	630
tulema	629
kirja	629
ukse	629
kohutav	628
koer	627
asemel	627
kuradit	626
arvates	625
pähe	624
mäletan	623
oi	622
kuulake	621
imelik	621
kuud	620
uskumatu	619
lõbus	619
appi	619
käinud	618
valge	617
suudad	616
nägi	615
minul	615
jään	615
arust	613
jätke	612
esimest	612
korra	611
mängu	610
tahtsid	610
majas	609
õhtu	609
kümme	607
lasen	606
arvatavasti	605
mitu	604
tappis	604
väsinud	604
kiiremini	604
linnas	603
härrased	602
lõpp	601
igatahes	600
võiksid	599
au	599
sõda	598
kindral	597
võinud	597
kõlab	597
silma	597
juhtunud	596
kutsu	596
leia	594
naised	592
oo	592
suurt	590
vett	589
president	587
andy	587
tulemast	586
käi	586
pikk	585
must	585
mäleta	583
vaene	583
õhku	582
lähevad	582
kellelegi	581
suhtes	581
meel	581
süü	580
tütar	580
hoidke	579
paigal	579
polegi	579
meeles	577
luban	576
inimeste	576
tüdrukud	576
sam	574
ootan	574
helista	571
hakkas	570
endast	570
rumal	569
daamid	567
kuningas	567
major	566
poja	564
miss	564
abielus	563
äri	560
võiksin	560
kuulsid	559
mõistan	557
tom	556
komandör	556
alt	555
läksid	554
hiljaks	554
kodu	554
probleeme	551
pani	550
keha	548
teiste	547
värk	546
tahame	545
järel	545
leo	545
inimest	543
rahulikult	540
ellu	540
bill	539
viin	539
tuba	538
lapsi	537
küsi	537
laeva	537
üht	536
huvita	536
härrad	536
kusagil	536
kohtume	535
pidu	535
issi	533
arvab	532
saaksid	532
ammu	531
tuua	529
meeldivad	528
tavaliselt	526
vajab	526
näitan	525
max	525
juua	525
esimese	525
kellel	524
süda	522
ülejäänud	522
seekord	522
idee	521
vahet	520
semu	520
ettevaatlik	520
ajad	519
küllalt	519
vähem	519
kõvasti	519
tundsin	519
last	517
pidage	517
külm	516
tegemist	515
seepärast	515
kaugel	515
aastaid	514
kõrval	514
jääd	514
armastus	514
tasa	513
homer	513
kontrolli	512
hulluks	510
tõmba	510
kella	509
aus	509
nädala	509
tundma	509
